Timestamp,Piece,Reference,User Input,Response Time (s)
2024-07-13 02:00:17,"('white', 'red')",I,i,3.179
2024-07-13 02:00:22,"('blue', 'orange')",G,g,4.992
2024-07-13 02:00:24,"('yellow', 'orange')",S,s,1.563
2024-07-13 02:00:28,"('white', 'orange')",K,k,4.152
2024-07-13 02:00:35,"('blue', 'yellow')",H,h,6.145
2024-07-13 02:00:37,"('orange', 'blue')",X,x,2.601
2024-07-13 02:00:39,"('green', 'red')",M,m,1.675
2024-07-13 02:00:43,"('yellow', 'green')",T,t,3.741
2024-07-13 02:00:47,"('blue', 'orange')",G,g,3.507
2024-07-13 02:00:50,"('white', 'red')",I,i,2.980
2024-07-13 02:00:53,"('orange', 'yellow')",W,w,3.158
2024-07-13 02:00:58,"('orange', 'white')",U,u,5.374
2024-07-13 02:01:01,"('blue', 'orange')",G,g,2.467
2024-07-13 02:01:04,"('blue', 'yellow')",H,h,2.502
2024-07-13 02:01:06,"('white', 'red')",I,i,1.814
2024-07-13 02:01:08,"('orange', 'white')",U,u,1.861
2024-07-13 02:01:12,"('blue', 'white')",F,f,4.200
2024-07-13 02:01:15,"('yellow', 'orange')",S,s,2.861
2024-07-13 02:01:17,"('red', 'white')",C,c,1.588
2024-07-13 02:01:19,"('green', 'orange')",O,o,2.683
2024-07-13 02:01:22,"('orange', 'yellow')",W,w,2.337
2024-07-13 02:01:24,"('white', 'blue')",L,l,2.271
2024-07-13 02:01:27,"('white', 'orange')",K,k,2.697
2024-07-13 02:01:31,"('orange', 'blue')",X,x,3.235
2024-07-13 02:01:36,"('yellow', 'green')",T,t,5.562
2024-07-13 02:01:38,"('blue', 'yellow')",H,h,2.102
2024-07-13 02:01:42,"('white', 'orange')",K,k,3.043
2024-07-13 02:01:45,"('white', 'green')",J,j,3.365
2024-07-13 02:01:49,"('yellow', 'blue')",R,r,3.488
2024-07-13 02:01:51,"('yellow', 'green')",T,t,2.284
2024-07-13 02:01:54,"('blue', 'orange')",G,g,2.481
2024-07-13 02:01:58,"('blue', 'white')",F,f,4.148
2024-07-13 02:02:01,"('red', 'blue')",D,d,2.125
2024-07-13 02:02:03,"('blue', 'white')",F,f,2.508
2024-07-13 02:02:07,"('red', 'green')",B,b,3.681
2024-07-13 02:02:10,"('orange', 'green')",V,v,2.246
2024-07-13 02:02:14,"('white', 'blue')",L,j,4.017
2024-07-13 02:02:22,"('yellow', 'green')",T,t,7.560
2024-07-13 02:02:25,"('yellow', 'red')",Q,q,2.595
2024-07-13 02:02:27,"('blue', 'yellow')",H,hj,2.371
2024-07-13 02:02:34,"('white', 'blue')",L,l,6.554
2024-07-13 02:02:36,"('yellow', 'red')",Q,q,1.348
2024-07-13 02:02:40,"('blue', 'yellow')",H,h,4.081
2024-07-13 02:02:42,"('white', 'orange')",K,k,2.114
2024-07-13 02:02:44,"('red', 'white')",C,c,1.550
2024-07-13 02:02:47,"('green', 'orange')",O,o,2.106
2024-07-13 02:02:49,"('white', 'orange')",K,k,2.434
2024-07-13 02:02:51,"('white', 'red')",I,i,1.870
2024-07-13 02:02:57,"('green', 'yellow')",N,t,5.688
2024-07-13 02:03:04,"('orange', 'green')",V,v,5.966
2024-07-13 02:03:05,"('red', 'white')",C,c,1.465
2024-07-13 02:03:08,"('orange', 'yellow')",W,w,2.234
2024-07-13 02:03:11,"('white', 'green')",J,j,2.579
2024-07-13 02:03:13,"('green', 'red')",M,m,1.997
2024-07-13 02:03:18,"('yellow', 'blue')",R,r,4.074
2024-07-13 02:03:19,"('green', 'red')",M,m,1.243
2024-07-13 02:03:21,"('yellow', 'orange')",S,s,1.517
2024-07-13 02:03:24,"('white', 'green')",J,j,2.335
2024-07-13 02:03:26,"('blue', 'yellow')",H,h,2.267
2024-07-13 02:03:28,"('red', 'white')",C,c,1.205
2024-07-13 02:03:31,"('white', 'orange')",K,k,2.469
2024-07-13 02:03:33,"('orange', 'blue')",X,x,2.172
2024-07-13 02:03:35,"('orange', 'yellow')",W,w,1.284
2024-07-13 02:03:37,"('white', 'red')",I,i,1.756
2024-07-13 02:03:39,"('red', 'blue')",D,d,1.679
2024-07-13 02:03:41,"('orange', 'blue')",X,x,1.704
2024-07-13 02:03:44,"('yellow', 'orange')",S,s,2.327
2024-07-13 02:03:47,"('blue', 'red')",E,e,2.413
