Timestamp,Edge,Reference,User Input,Response Time (s)
2024-07-09 14:46:04,"('blue', 'yellow')",H,r,7.334
2024-07-09 14:46:09,"('white', 'red')",I,i,4.856
2024-07-09 14:46:14,"('blue', 'white')",F,f,4.858
2024-07-09 14:46:17,"('blue', 'orange')",G,g,2.555
2024-07-09 14:46:18,"('orange', 'green')",V,v,1.345
2024-07-09 14:46:21,"('green', 'orange')",O,o,2.663
2024-07-09 14:46:22,"('green', 'red')",M,m,1.208
2024-07-09 14:46:28,"('orange', 'white')",U,u,5.533
2024-07-09 14:46:30,"('red', 'green')",B,c,1.895
2024-07-09 14:46:38,"('green', 'yellow')",N,n,8.203
2024-07-09 14:46:40,"('green', 'red')",M,m,1.849
2024-07-09 14:46:43,"('yellow', 'orange')",S,s,2.882
2024-07-09 14:46:47,"('yellow', 'blue')",R,r,4.076
2024-07-09 14:46:50,"('green', 'yellow')",N,n,2.736
2024-07-09 14:46:54,"('blue', 'orange')",G,g,3.352
2024-07-09 14:46:56,"('red', 'blue')",D,d,2.395
2024-07-09 14:47:01,"('yellow', 'green')",T,t,4.646
2024-07-09 14:47:06,"('white', 'orange')",K,k,4.722
2024-07-09 14:47:15,"('green', 'white')",P,p,9.362
2024-07-09 14:47:17,"('green', 'white')",P,p,1.450
2024-07-09 14:47:19,"('red', 'blue')",D,d,2.089
2024-07-09 14:47:24,"('orange', 'blue')",X,x,4.584
2024-07-09 14:47:28,"('yellow', 'blue')",R,r,4.246
2024-07-09 14:47:30,"('red', 'yellow')",A,a,1.833
2024-07-09 14:47:33,"('white', 'red')",I,i,2.354
2024-07-09 14:47:41,"('blue', 'yellow')",H,h,8.075
2024-07-09 14:47:46,"('yellow', 'green')",T,t,4.445
2024-07-09 14:47:47,"('green', 'red')",M,m,1.606
2024-07-09 14:47:52,"('white', 'blue')",L,l,4.628
2024-07-09 14:47:54,"('green', 'red')",M,m,1.516
2024-07-09 14:47:56,"('blue', 'red')",E,e,2.465
2024-07-09 14:47:58,"('red', 'yellow')",A,a,1.370
2024-07-09 14:48:02,"('yellow', 'blue')",R,r,3.324
2024-07-09 14:48:05,"('orange', 'white')",U,u,2.923
2024-07-09 14:48:06,"('orange', 'white')",U,u,1.240
2024-07-09 14:48:10,"('white', 'green')",J,j,3.471
2024-07-09 14:48:13,"('white', 'red')",I,i,2.473
2024-07-09 14:48:16,"('white', 'blue')",L,l,3.101
2024-07-09 14:48:19,"('blue', 'orange')",G,g,2.828
2024-07-09 14:48:21,"('orange', 'blue')",X,x,1.889
2024-07-09 14:48:23,"('orange', 'blue')",X,x,1.826
2024-07-09 14:48:31,"('yellow', 'green')",T,t,7.720
2024-07-09 14:48:38,"('white', 'green')",J,j,6.508
